epoch,train_loss,valid_loss,train_macro_f1,valid_macro_f1
1,2.2449585935051823,2.2487964429059346,0.9119301652100603,0.8400934819262206
2,2.1775144631987,2.185801219621711,0.9228675521269155,0.8525167006370044
3,2.110276370359847,2.123094850885275,0.9297544572522576,0.8627841556594985
4,2.0452817950925954,2.062550235498937,0.9314989906272361,0.8640530411549868
5,1.9831917152861305,2.004747199543575,0.933283548889628,0.8650690332997684
6,1.924143417136192,1.949820349882866,0.9358431823145622,0.8700547820334286
7,1.868168150380018,1.897786049207568,0.9377082266765022,0.8739805524480388
8,1.8152106799025967,1.8485875057638492,0.9398002660327391,0.8767575543830292
9,1.7651825426226586,1.802124961699604,0.9415250173818202,0.879106569846414
10,1.7179307289922554,1.7582681586588194,0.9430792691444395,0.8834318493473889
11,1.6733139500420988,1.7168772350350494,0.9451527944337782,0.882738231828025
12,1.6312563154347326,1.6778776319395339,0.9467321997464296,0.8839963770770318
13,1.5914912796657357,1.6410132860694842,0.947597686593905,0.8835649486771378
14,1.5539560330488205,1.6062310905288761,0.9491619844587046,0.8857281146439447
15,1.5184276791382512,1.5733241012672983,0.950022997407261,0.8857172564522073
16,1.48486170209352,1.5422578814267984,0.9510609312667271,0.8879964991442012
17,1.453035986727785,1.5128114540245645,0.9514068074750771,0.8902455095659046
18,1.4228828529358624,1.484932666752664,0.9519213599948202,0.8916375579639311
19,1.3942648020185295,1.4584799984571846,0.9524404835777339,0.8915958122552492
20,1.3670791266848783,1.433370529488652,0.9521127295541367,0.8923071018170056
21,1.3412602650481893,1.4095319002494833,0.9529541439910014,0.8929812378784036
22,1.3166897294984286,1.3868622646243187,0.9539670518673476,0.8943684028957126
23,1.2932087523855158,1.3652035230872737,0.9543079167769649,0.8944557477228582
24,1.2708743474198614,1.3446188711460128,0.9547986743843833,0.8958717567378406
25,1.2495057891139416,1.3249429803256423,0.9553206250563664,0.8972749630336327
26,1.22907455280818,1.3061398596913052,0.9558320460546057,0.9001435956387092
27,1.2095507946654416,1.2881802532445152,0.9565158021241791,0.9001435956387092
28,1.1908891955716285,1.2710188961382178,0.9566841103324991,0.9021967589662616
29,1.1729876043095973,1.2545710152914114,0.9568534708041481,0.9015141313236104
30,1.1557906350004208,1.2387841847807888,0.9571924755423821,0.9022481461041665
31,1.1393221217959733,1.2236726548865038,0.9575216310805054,0.9029923173058932
32,1.123515812030576,1.2091795178468654,0.9588778362163625,0.9029923173058932
33,1.1083061898237718,1.1952405642477901,0.9593890409069685,0.903650128550024
34,1.0936436997302532,1.1818116817629087,0.9602306867549609,0.903650128550024
35,1.0796144963149037,1.1689642597425578,0.960576725936186,0.9050332767888992
36,1.0660805413665992,1.1565893324987653,0.9610871766840574,0.9057298040628468
37,1.0530216325510233,1.1446502968670964,0.9621121913882126,0.9064286011025766
38,1.040466410441345,1.1331841864597174,0.9622872240709404,0.9064385585962238
39,1.0283666197757309,1.1221415160346515,0.9622872240709404,0.9064385585962238
40,1.0166174510556083,1.1114205858662907,0.9627894491763731,0.9071106722008633
41,1.0052751758028824,1.1010818119943702,0.963293744152317,0.9064445685587555
42,0.9943561148330279,1.091139563045343,0.9636234651393863,0.9057932840926852
43,0.9838004136804374,1.0815247977273663,0.964131878167878,0.9050981375963891
44,0.9735652454985303,1.0722117494854342,0.9648075484261118,0.9051245237725688
45,0.9636615212680111,1.063203217064392,0.9649817432109451,0.9051619986567635
46,0.9540621240704843,1.0544715720561686,0.9653173737690646,0.9064149680454454
47,0.9447947816261149,1.0460559002467313,0.9656542350871341,0.9071466486912592
48,0.9357847319966676,1.0378740146706558,0.9656542350871341,0.9077915695915154
49,0.9270754448555452,1.0299707642328053,0.9659998748234162,0.9084189746335287
50,0.9186310497008029,1.0223151104468855,0.9663341893381047,0.9090439178921134
51,0.9104438149959727,1.0148988330301278,0.9665017904335974,0.9090439178921134
52,0.9024688472065842,1.0076723671720802,0.9673436971029282,0.9090439178921134
53,0.8947453487361768,1.0006804237553037,0.9678528755104281,0.9090274073783824
54,0.8872577612351586,0.9939097177635209,0.9683563534021445,0.9090274073783824
55,0.8799349144165808,0.9872885119231644,0.968529257270875,0.9097345615338414
56,0.8728415497736033,0.9808819771844917,0.9690358321354585,0.909744629868263
57,0.8659141713414781,0.9746312071789807,0.9692075076364512,0.9097808248533885
58,0.8591624344573536,0.9685380825957869,0.9693732391669163,0.9104535269380923
59,0.8526320730122436,0.9626513790740532,0.9698815441733387,0.9104535269380923
60,0.8462783074230235,0.9569284446176631,0.9698815441733387,0.9104535269380923
61,0.840067463890463,0.9513430755801718,0.9700462426218864,0.9110560553391469
62,0.8340784452602855,0.9459508680056535,0.9702136650040298,0.9131426130980353
63,0.8281981560339127,0.9406636204368858,0.9702136650040298,0.912482828538012
64,0.8224768098987181,0.9355259784417767,0.9705556211651534,0.912482828538012
65,0.8169128474862636,0.9305305499652863,0.9710639491494846,0.912482828538012
66,0.8114999366531894,0.9256752241844769,0.9710639491494846,0.9131641404077518
67,0.8062030217233667,0.9209221599111115,0.9710639491494846,0.9131641404077518
68,0.8010200870711902,0.9162776126970695,0.9712284557624477,0.9137926443514999
69,0.7959686283758586,0.9117524087564058,0.9715664363974079,0.9137926443514999
70,0.7910014211525349,0.9073119073416479,0.9715664363974079,0.914478500688538
71,0.7861955046277409,0.9030170901506479,0.9719070722916878,0.9151159814107539
72,0.7815198087602369,0.8988404983244114,0.9722469695707954,0.9157958908166943
73,0.7769266797267019,0.8947352725466172,0.9725866805229971,0.9157958908166943
74,0.7724445905506675,0.8907366711581121,0.9730958596300134,0.9157958908166943
75,0.7680467332207029,0.8868190818501753,0.9732680127378304,0.9157958908166943
76,0.7637607954045972,0.8829999588062564,0.9736027856877207,0.9157958908166943
77,0.7595959482877209,0.8792954531131683,0.973776365954088,0.9157958908166943
78,0.755508378223989,0.8756590067970915,0.973776365954088,0.9157962353947339
79,0.7514926583968623,0.872085307887625,0.9739453752996334,0.9165091348911215
80,0.7475991930246061,0.8686290986637399,0.9741127518441612,0.9165091348911215
81,0.7437941650688238,0.8652547190230889,0.9746267732806615,0.9165091348911215
82,0.7400491177518103,0.8619337163190796,0.9747984135638259,0.9165091348911215
83,0.7363761824043291,0.8586789730213908,0.9747984135638259,0.9164844434977961
84,0.7328006544456863,0.8555166349859856,0.9751395249289191,0.9164844434977961
85,0.7292727338716042,0.8523945135196653,0.9753078623979224,0.9164844434977961
86,0.7258448685939926,0.849355858502274,0.9754753215148739,0.9164844434977961
87,0.7224946542794555,0.8463963309612711,0.9754753215148739,0.915775799006543
88,0.7191998716005933,0.8434892586972226,0.9756443017625738,0.915775799006543
89,0.7159766318469201,0.8406444193419295,0.9758100786115976,0.9164311863460618
90,0.7127913144486177,0.8378387851958863,0.9761464757303742,0.9177924482808599
91,0.709686958697334,0.8351074332850908,0.9763137662808417,0.9177924482808599
92,0.7066597189655733,0.8324435371468841,0.9764830983346432,0.917795426208329
93,0.7036516560164617,0.829797373149438,0.976819503815262,0.917795426208329
94,0.700737052214465,0.8272454456558359,0.9769895001874795,0.9177924482808599
95,0.6978657483098015,0.8247226377406581,0.9769895001874795,0.917795426208329
96,0.6950337084752709,0.8222395397933323,0.9773262691146346,0.9184468118229955
97,0.6922561322422598,0.8198079104658047,0.9774927387936285,0.9184468118229955
98,0.6895575031679185,0.817440251649696,0.9774927387936285,0.9177773785280892
99,0.6869135460186236,0.8151290739776745,0.9776628692657503,0.9184418040591286
100,0.6843270235927902,0.8128654197655787,0.9778292969341102,0.9184418040591286
