update_step,epoch,batch_start,batch_size,batch_train_loss,valid_loss
1,1,0,256,2.296455302944368,2.3008652986720866
2,1,256,256,2.2944683863887767,2.2989389347299265
3,1,512,256,2.2917555455063647,2.296880729194414
4,1,768,256,2.2906045820026266,2.2948280104528207
5,1,1024,256,2.287872676789599,2.2926870038770786
6,1,1280,256,2.2861990859125756,2.290551130034051
7,1,1536,256,2.284022750665497,2.2883833166055263
8,1,1792,256,2.2816612383887467,2.2861320338417452
9,1,2048,256,2.280341940989147,2.2839199926354605
10,1,2304,256,2.2763591259802416,2.281553168402552
11,1,2560,256,2.2746888369436347,2.2792051523811
12,1,2816,256,2.2737784446856417,2.2768814984499475
13,1,3072,256,2.269196205509041,2.274429454985839
14,1,3328,256,2.266641374269039,2.271940549257325
15,1,3584,256,2.2656553506321737,2.2694268921112806
16,1,3840,256,2.2612263513055013,2.2668415448639894
17,1,4096,256,2.2628199112768907,2.264428222775792
18,1,4352,256,2.258528127102303,2.2619216161763567
19,1,4608,256,2.253919689066762,2.259311471079768
20,1,4864,256,2.2529445193060167,2.2567214206178323
21,1,5120,256,2.2514524883011466,2.2541557709343634
22,1,5376,256,2.248180402302725,2.2514988739218236
23,1,5632,256,2.24520954385199,2.2488660676834646
24,1,5888,6,2.2603536165657716,2.248822850060506
25,2,0,256,2.239686396592088,2.2462695858994297
26,2,256,256,2.2353033265066706,2.2436663437752946
27,2,512,256,2.2332411953599114,2.24108044896873
28,2,768,256,2.229607474115669,2.238424530616741
29,2,1024,256,2.2274156396277807,2.2357605434915206
30,2,1280,256,2.2246164226207186,2.233056463477542
31,2,1536,256,2.2243666080112927,2.23044090592409
32,2,1792,256,2.2161439260000564,2.22760749898296
33,2,2048,256,2.2120848795015973,2.2247274229737437
34,2,2304,256,2.2113696576038953,2.221944936061535
35,2,2560,256,2.2063363432432013,2.219121322076376
36,2,2816,256,2.206853339542443,2.216382582330568
37,2,3072,256,2.20015416640734,2.2135379379786126
38,2,3328,256,2.193924505294221,2.210615096807116
39,2,3584,256,2.2010904490641563,2.2079108920460713
40,2,3840,256,2.20078023724745,2.2052350422616636
41,2,4096,256,2.1938641063832867,2.2024226297797944
42,2,4352,256,2.1927433096025712,2.199741313993576
43,2,4608,256,2.1840773628668533,2.1968673110302
44,2,4864,256,2.1920017739770827,2.1942319479654016
45,2,5120,256,2.1873797608523136,2.191615531198253
46,2,5376,256,2.175424499529874,2.188789044042037
47,2,5632,256,2.1711975716646252,2.185862272255347
48,2,5888,6,2.2306212261802116,2.185813270919229
49,3,0,256,2.1700981014582092,2.183095821303336
50,3,256,256,2.1674311590213824,2.180391048026962
51,3,512,256,2.162143685761115,2.1776398466801368
52,3,768,256,2.1634796866648642,2.174926976448007
53,3,1024,256,2.1593080169600376,2.1722741574022852
54,3,1280,256,2.1517423083043594,2.1694557549684936
55,3,1536,256,2.1499475364209966,2.166726885251469
56,3,1792,256,2.1558446148850425,2.164135077471592
57,3,2048,256,2.146184015784349,2.161362239185803
58,3,2304,256,2.156920164553153,2.158762736188429
59,3,2560,256,2.1371284129674666,2.1559545937822886
60,3,2816,256,2.130596034702434,2.1531092168772665
61,3,3072,256,2.129809128824057,2.1502294581642913
62,3,3328,256,2.1327803162275796,2.1475199197337496
63,3,3584,256,2.1274073314201245,2.144799284053571
64,3,3840,256,2.1210451237245533,2.1419644202498356
65,3,4096,256,2.1259798973163635,2.1392129231537003
66,3,4352,256,2.1279647889503552,2.136545180165558
67,3,4608,256,2.119511482767369,2.133782432092084
68,3,4864,256,2.1063995301997753,2.1309680821044856
69,3,5120,256,2.1145378297089263,2.128247281191012
70,3,5376,256,2.130271863558801,2.125779075116767
71,3,5632,256,2.1145612793765163,2.1231540478120383
72,3,5888,6,2.0996367867587304,2.1230870028041253
73,4,0,256,2.090422952387135,2.1203166519751817
74,4,256,256,2.0933912505278394,2.11765069056057
75,4,512,256,2.1028437833083857,2.115076993337966
76,4,768,256,2.0864421648132145,2.1124226576466762
77,4,1024,256,2.0975309107940876,2.109765392402941
78,4,1280,256,2.0930839323141877,2.1070906972704027
79,4,1536,256,2.0755144132309855,2.104378587492042
80,4,1792,256,2.070226172260646,2.101632974785285
81,4,2048,256,2.081895280749262,2.0990195782841545
82,4,2304,256,2.07986787728659,2.0963691811816227
83,4,2560,256,2.078532834241782,2.093760440105806
84,4,2816,256,2.084480218763159,2.091211416948875
85,4,3072,256,2.0801878034052748,2.0887487023195264
86,4,3328,256,2.0643442261729588,2.086079982311009
87,4,3584,256,2.0738954757474373,2.08352659958958
88,4,3840,256,2.062720276630616,2.080922086661267
89,4,4096,256,2.055678647480251,2.078261065015556
90,4,4352,256,2.0597899946057794,2.0757238523448622
91,4,4608,256,2.061277809983711,2.073137607185215
92,4,4864,256,2.0474581399492635,2.070390199287203
93,4,5120,256,2.046966868725349,2.0678056889075047
94,4,5376,256,2.0523607847143266,2.0652345608136753
95,4,5632,256,2.040569686992212,2.0626278642746882
96,4,5888,6,2.0540800898753857,2.0625671579153178
97,5,0,256,2.0274407916001476,2.0599810653300965
98,5,256,256,2.042433602788136,2.0574545101518265
99,5,512,256,2.0373208027798224,2.0549897570423066
100,5,768,256,2.039728113068673,2.0524715566460614
101,5,1024,256,2.013517269461646,2.0498844743575075
102,5,1280,256,2.0212599150430277,2.047309361046927
103,5,1536,256,2.0250760420073846,2.04478157507321
104,5,1792,256,2.005975007243407,2.0422072985248145
105,5,2048,256,2.014765938133773,2.039676390125724
106,5,2304,256,2.0157546910981186,2.037164208137092
107,5,2560,256,2.0138433419148996,2.0346303736516496
108,5,2816,256,2.0022375048191723,2.032012581976896
109,5,3072,256,2.036751276713331,2.0296749215446073
110,5,3328,256,2.013629130993537,2.0272517134988837
111,5,3584,256,2.003038705956426,2.0247528263163592
112,5,3840,256,2.0075898881900898,2.022329563162397
113,5,4096,256,1.9960899199799484,2.019795299145878
114,5,4352,256,1.9838303610478099,2.017235813137662
115,5,4608,256,1.9878685874611777,2.014781979588203
116,5,4864,256,1.9922344789708701,2.0122965221437465
117,5,5120,256,1.9737910654545336,2.009756946943183
118,5,5376,256,1.9858352241244352,2.00728265190393
119,5,5632,256,1.979438311431671,2.0048405097274546
120,5,5888,6,1.9469602112372877,2.00477392558154
121,6,0,256,1.969669440136627,2.002342076550666
122,6,256,256,1.9698057640407367,1.9998574108739178
123,6,512,256,1.9667279291894793,1.9974214987292946
124,6,768,256,1.962091425239383,1.9949537690162105
125,6,1024,256,1.966141405405535,1.992547893296182
126,6,1280,256,1.9704748277002513,1.9901956483175038
127,6,1536,256,1.9463864852326047,1.9876969902060202
128,6,1792,256,1.9580904902819303,1.9853155376425773
129,6,2048,256,1.9482527418397069,1.9829639169531814
130,6,2304,256,1.9622260109255278,1.9806385215814453
131,6,2560,256,1.9576417341306327,1.978307181202802
132,6,2816,256,1.947259133026542,1.9759103387821688
133,6,3072,256,1.9465427724348188,1.9734868574863154
134,6,3328,256,1.9365920415482116,1.9711424005828118
135,6,3584,256,1.9431901136924767,1.9688336451708917
136,6,3840,256,1.9429010852609054,1.9664465975682848
137,6,4096,256,1.9381453906350852,1.9640090537878265
138,6,4352,256,1.9308178837676526,1.961633091726637
139,6,4608,256,1.967845793702603,1.9593874074546997
140,6,4864,256,1.9412409628716154,1.957088732092422
141,6,5120,256,1.9188859082363972,1.9546676429033913
