feature,ngram_range,feature_count,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,generalization_gap,time_seconds
unigram,"(1, 1)",20000,0.999491007804547,0.9416553595658074,0.999490799136743,0.9417031689215328,0.05778763021521016,1.4889115000000857
unigram_bigram,"(1, 2)",20000,0.999830335934849,0.9314789687924017,0.9998306519898392,0.9318907385217038,0.06793991346813544,4.2174402000000555
