model,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,train_seconds
LinearSVC,0.999830335934849,0.9430122116689281,0.9998306519898392,0.9430588669022967,0.31735739999930956
LogisticRegression,0.9879538513742789,0.9219810040705563,0.9879817523740156,0.9223841614412887,1.662825000000339
MultinomialNB,0.9759077027485579,0.9104477611940298,0.9760118311957214,0.9109433194963932,0.019481100000120932
