feature_type,feature_count,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,generalization_gap,time_seconds
word_unigram,38178,0.999830335934849,0.9430122116689281,0.9998306519898392,0.9430588669022967,0.05677178508754255,1.4193964999994932
char_wb,80000,0.999491007804547,0.9369063772048847,0.9994909432600192,0.937261282332703,0.06222966092731619,18.294020100000125
char,80000,0.999830335934849,0.9314789687924017,0.9998306519898392,0.9319093605149489,0.06792129147489034,28.504775299999892
