seed,word_features,char_features,total_features,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,generalization_gap
42,38178,80000,118178,0.999830335934849,0.9484396200814111,0.9998306519898392,0.948622852125386,0.05120779986445323
123,37236,80000,117236,1.0,0.9423337856173677,1.0,0.9425757472654024,0.057424252734597614
2025,36302,80000,116302,0.999830335934849,0.9504748982360922,0.9998306519898392,0.9508461839114469,0.048984468078392296
3407,38444,80000,118444,0.999660671869698,0.9416553595658074,0.9996611599787452,0.9418237237567686,0.05783743622197657
2026,36753,80000,116753,1.0,0.94640434192673,1.0,0.9465825647873484,0.05341743521265163
