seed,train_samples,valid_samples,feature_count,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,generalization_gap
42,5894,1474,38178,0.999830335934849,0.9430122116689281,0.9998306519898392,0.9430588669022967,0.05677178508754255
123,5894,1474,37236,0.999660671869698,0.9416553595658074,0.9996611599787452,0.9419784166588663,0.05768274331987888
2025,5894,1474,36302,0.999660671869698,0.9409769335142469,0.9996613036151174,0.9413300472445751,0.05833125637054226
3407,5894,1474,38444,0.999660671869698,0.9409769335142469,0.9996611599787452,0.9410972389544249,0.05856392102432029
2026,5894,1474,36753,0.999660671869698,0.9470827679782904,0.9996610159753404,0.9473943294432818,0.05226668653205857
