metric,mean,std,min,max
valid_accuracy,0.9458616010854817,0.0038197254437609667,0.9416553595658074,0.9504748982360922
valid_macro_f1,0.9460902143692704,0.0038675034064216116,0.9418237237567686,0.9508461839114469
generalization_gap,0.053774278422414265,0.0038564230894790833,0.048984468078392296,0.05783743622197657
