max_features,actual_features,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,generalization_gap,time_seconds
5000,5000,0.998812351543943,0.9206241519674355,0.9988116687082471,0.9206996225781181,0.07811204613012901,1.1852096000002348
10000,10000,0.999491007804547,0.9308005427408412,0.999490799136743,0.9310812382190099,0.06840956091773309,1.535621699999865
20000,20000,0.999491007804547,0.9416553595658074,0.999490799136743,0.9417031689215328,0.05778763021521016,1.391698500000075
40000,38178,0.999830335934849,0.9430122116689281,0.9998306519898392,0.9430588669022967,0.05677178508754255,1.4286324999998214
unlimited,38178,0.999830335934849,0.9430122116689281,0.9998306519898392,0.9430588669022967,0.05677178508754255,1.2719348000000537
