seed,C,word_features,char_features,total_features,train_accuracy,valid_accuracy,train_macro_f1,valid_macro_f1,generalization_gap
42,0.5,38178,80000,118178,0.999830335934849,0.9497964721845319,0.9998306519898392,0.9499821643528289,0.04984848763701033
123,0.5,37236,80000,117236,0.999660671869698,0.9430122116689281,0.9996611599787452,0.9432130360911497,0.05644812388759546
2025,0.5,36302,80000,116302,0.999660671869698,0.9531886024423338,0.9996613036151174,0.9535304837093266,0.04613081990579082
3407,0.5,38444,80000,118444,0.999660671869698,0.9430122116689281,0.9996611599787452,0.9431385751086238,0.056522584870121406
2026,0.5,36753,80000,116753,0.999830335934849,0.9497964721845319,0.99983050835285,0.9499326490252926,0.049897859327557414
